record_id	record_type	source_city	canonical_city	activity_location	canonical_activity_location	conditional_markers	activity_text
activity-0001	Activity	Helsinki	Helsinki	Helsinki	Helsinki		Helsinki: A Finntastic Walking Tour - Time: 10:30 am / 1:30 pm - 12:45 pm / 3:45 pm - Meeting point: Senate Square (Look for a blue and white umbrella) - End point: Helsinki Central Library Oodi - Notable Sights: Senate Square, Helsinki Cathedral, Kauppatori, Uspenski Cathedral, Esplanadi Park and more - Includes: Professional authorised Helsinki Guide, Liability Insurance
activity-0002	Activity	Helsinki	Helsinki	Helsinki	Helsinki		Helsinki: Excurssion to Tallinn - Self Guided Experience - Meeting point: Hotel Pick up - Departure from Helsinki: 10:30 am - Departure from Tallinn: 7:30 pm - Includes: Helsinki port transfers, Star Class Cruise Ticket
activity-0003	Activity	Helsinki	Helsinki	Helsinki	Helsinki		Helsinki: Excurssion to Tallinn - Guided Experience - Meeting point: Hotel Pick up - Departure from Helsinki: 10:30 am - Departure from Tallinn: 7:30 pm - Includes: Helsinki port transfers, Star Class Cruise Ticket, Guided tour of Old town Tallinn
activity-0004	Activity	Helsinki	Helsinki	Tallinn	Tallinn		Tallinn: Old Town Guided tour - Time: 1:00 pm - 3:30 pm - Meeting point: under the Town Hall clock - Notable sights: St Nickolas Church, Freedom Square, Alexander Nevsky Cathedral, St Mary's Cathedral, Danish King's Garden and more - Includes: Tour, english guide, Recommendations
activity-0005	Activity	Helsinki	Helsinki	Helsinki	Helsinki		Helsinki: Archipelago Excursion - Time: 09:00 am - 2:00 pm - Meeting point: Mannerheiminaukio 1H - Includes: Return transfers from/to Helsinki, Knowledgable guide, Lunch with coffee/tea, Some raingear (jackets) available in case of rain
activity-0006	Activity	Helsinki	Helsinki	Helsinki	Helsinki		Helsinki: National Park and Smoke Sauna Experience - Time: 11:00 am - 5:30 pm - Meeting point: Mannerheiminaukio 1H - Includes: Return transfers from/to Helsinki, Knowledgable guide, Finnish-style lunch and dessert with coffee/tea, Sauna entry fee, A towel, Sauna-sandals, Some raingear available in case of rain, Winter accessories for lend
activity-0007	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights Hunt by Minibus at the Arctic Circle - Time: 8:00 pm - 11:00 pm - Meeting point: Arctic City Snowmobile Park office - Includes: Pick-up/drop off in central Rovaniemi, Professional, English-speaking guide, Winter overalls, boots and gloves, Warm juice and cookies
activity-0008	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Small-Group Aurora Hunt by Minibus - Time: 7:00 pm - 10:00 pm - Meeting point: Lapland Royal Adventures Office - Includes: Pick-up/drop-off from central Rovaniemi, Knowledgeable, English-speaking guide, Dedicated Northern Lights chase by minibus, Cozy blankets, hot drinks and a snack
activity-0009	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Small-Group Northern Lights Hunt - Time: 8:00 pm - 12:00 am - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, Winter clothes (overalls and boots), Hunting of the northern lights, Hot blueberry juice to keep warm
activity-0010	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi	not guaranteed	Rovaniemi: Northern Lights & Santa Claus - Time: 7:00 pm - 11:00 pm - Meeting point: Arctic GM Office - Includes: Transfers by coach bus to Arctic property, Professional certified guide, Santa Claus storytelling & personal photo, Personal gift from Santa Claus (2 options), Winter overalls for warmth and comfort, Aurora viewing opportunity (not guaranteed)
activity-0011	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights Unlimited Mileage Photo Tour - Time: 08:00 pm - 01:00 am - Meeting point: Book Lapland Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guides, Professional DSLR photography (unlimited), Meteorological observations, Thermal winter clothing, Hot drinks & snacks or cookies
activity-0012	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights Photo Tour with Campfire BBQ - Time: 08:00 pm - 12:00 am - Meeting point: Nordic Unique Travels Office, Maakuntakatu 29 - Includes: Knowledgeable, English-speaking guide, Pick-up/drop-off in central Rovaniemi, Professional photos emailed to you, Winter clothes (overalls and boots), Campfire BBQ with reindeer sausages
activity-0013	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Ice Floating under the Northern Lights - Time: 7:30 pm - 10:30 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, Floating (survival) suit to keep you warm, Gingerbread and hot blueberry juice
activity-0014	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights Bus Pro Hunting Tour with photos - Time: 7:30 pm - 12:30 pm - Meeting point: Arctic GM Office - Includes: Modern coach transfers, Real-time Aurora monitoring, Certified, first-aid trained Aurora Hunter guides, Professional DSLR photos taken by your guides, Professional DSLR photos (deliver online), Thermal overalls for Arctic conditions, 4-6h total experience in wilderness, Hot drinks & light snacks
activity-0015	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights by Snowmobile - Time: 7:00 pm - 11:00 pm - Meeting point: Arctic Circle Snowmobile Park office - Includes: Pick-up/drop-off in central Rovaniemi, Professional, English-speaking guide, Snowmobiling on shared vehicle (2 pers), Approximately 2-hours snowmobiling, Winter clothes (overalls, boots, gloves), Safety equipment (helmet, balaclava), Warm juice and cookies by a campfire
activity-0016	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Lakeside Private Sauna under the Northern Lights - Time: 7:30 pm - 10:30 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off within 15 km of Rovaniemi city, Professional, English-speaking guide, 1-hour access to traditional sauna, Complimentary slippers and towel, Refreshing plunge in the lake, Delicious blueberry juice
activity-0017	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Lapland Northern Lights Unlimited Chase - Time: 7:00 pm - 3:00 am - Meeting point: Hotel Pick up - Includes: Tour Guiding, Professional Camera Pictures, Pick/Drop within 15KM of Rovaniemi City, Tour Transportation, Cookies & Hot drinks, Goods & services tax
activity-0018	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Private Sauna & Jacuzzi with Northern Lights - Time: 7:30 pm - 10:30 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off in central Rovaniemi, Knowledgeable, English-speaking guide, Private traditional sauna and jacuzzi, Ice lake swimming, slippers and towels, Tasty gingerbread and hot drinks
activity-0019	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Dog Sledding under the Northern Lights - Time: 6:00 pm - 10:00 pm - Meeting point: Nordic Unique Travels Office - Includes: Pick-up/drop-off from central Rovaniemi, Knowledgeable, English-speaking guide, Husky sleigh ride through the Arctic forest, Forest or lakeside northern lights search, Winter clothes (overalls, boots and gloves), Hot blueberry juice to keep you warm
activity-0020	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Northern Lights Pro Guaranteed - Unlimited Distance - Time: 7:00 pm - 3:00 am - Meeting point: Book Lapland office - Includes: Pick-up/drop-off in central Rovaniemi, Northern lights viewing (guaranteed), Unlimited mileage & time, Professional photography photos (unlimited), Meteorological Observations, Thermal winter clothing, Hot Drinks & cookies
activity-0021	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Santa Claus Village Visit - Time: 10:30 am / 2:30 pm - 12:30 am - 4:30 pm - Meeting point: Lapland Royal Adventures Office - Includes: Pick-up/drop-off in central Rovaniemi, Round-trip car transportation, Short guided introduction, Self-guided experience
activity-0022	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Visit to Santa Claus Village - Time: 10:00 am - 2:00 pm - Meeting point: Nordic Unique Travels Office - Includes: Knowledgeable, English-speaking guide, Pick-up/drop-off in central Rovaniemi, Personal encounter with Santa Claus, Arctic Circle Certificate & lunch buffet
activity-0023	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi		Rovaniemi: Arctic Circle Highlights Adventure Day - Time: 08:45 am - 2:45 pm - Meeting point: Arctic Circle Snowmobile Park Rovaniemi - Includes: Pick-up/drop-off in central Rovaniemi, Reindeer Farm visit with sleigh ride (2-3 pers), Reindeer sledge driver’s license reward, Alaskan Husky visit with sleigh ride (4 pers), Approx. 2 hours free time in Santa Claus Village, Winter clothes (overalls, boots and gloves), Traditional salmon soup or vegetarian option
activity-0024	Activity	Rovaniemi	Rovaniemi	Rovaniemi	Rovaniemi	if snow	Rovaniemi: City Highlights, Santa Village & Husky-Reindeer Safari - Time: 08:20 am - 3:20 pm - Meeting point: Nordic Unique Travels Office - Includes: Knowledgeable, English-speaking guide, Visit to a Husky and Reindeer Farm, Husky & reindeer sleigh rides (if snow), Sightseeing at Santa Claus Village, Arctic Circle Crossing Certificate, Tour of the Arktikum museum, Delicious buffet lunch
